Order,AlphaPop,FamilyNum,Population,Family,Dam,Sire,Rep,Treatment,TempTrt,WaterTrt,Block,Col,Row,GermDate,MinGermDay,MaxGermDay,Transplant,,LLL_0512,LLL_0515,LLL_0520,LLL_0523,LLL_0526,LLL_0529,LLL_0602,LLL_0605,LLL_0609,LLL_0612,Notes,UseForLLLGrowth,Height_0529,Height_0602,Height_0605,Height_0609,Height_0612,Height_0616,Height_0620,UseForHeightGrowth,,WiltStatus_0612,Flower Date,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,Flwr Notes,,LeafCollectionDate,UppTrichomeNo,LowTrichomeNo,Length_mm,LeafNotes1,LeafFW_g,LeafDW_g,LeafNotes2,LeafArea_cm2,,DiedFromStress,HarvestDate,NFlwr,Nbud,HarvestNotes,UseForBiomass,LeavesDW_g,ShootsDW_g,RootsDW_g,Notes,,,,,,,,,FlowerDate,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,FlwrNotes,,,,,,,,,,,,,
185,11,1,Rainbow Pool,RBW1,AA0656,AA0563,B,Hot/Dry,Hot,Dry,MM5-1,H,2,no germination,NA,NA,Y,,< 1,< 1,0.54,4.17,7.8,10.81,9.2,10.9,NA,NA,transplanted,FALSE,0,0,NA,0,NA,NA,NA,FALSE,,NA,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12,9,Redwood Creek,RWD9,EH0009,AA1541,A,Hot/Dry,Hot,Dry,MM5-1,I,2,plain,6,7,N,,1.98,4.5,12.36,22.29,34.97,49.32,47.8,82.5,NA,NA,,TRUE,1.5,4,NA,19.5,18.5,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,3,Rock Creek,004aN1,,,A,Hot/Dry,Hot,Dry,MM5-1,J,2,blue,11,11,N,,1.91,4.25,11.12,18.78,20.72,26.11,41.3,38.3,NA,NA,,TRUE,0,3.6,NA,11.3,11.5,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,3,Wawona,184aC2,,,A,Hot/Dry,Hot,Dry,MM5-1,K,2,plain,6,7,N,,< 1,1.61,8.15,15.25,20.13,29.21,44.3,50.7,NA,NA,,TRUE,0,0.1,NA,18.7,17,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
103,15,7,West Fork Mojave River,WFM7,EH0020,EH0024,A,Hot/Dry,Hot,Dry,MM5-1,L,2,plain,6,7,N,,3.69,4.93,9.47,24.27,34.8,40.74,60.3,61.3,NA,NA,,TRUE,1.6,5.2,NA,19.7,19.6,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16,9,Whitewater Canyon,WWC9,EH0032,EH0034,A,Hot/Dry,Hot,Dry,MM5-1,M,2,plain,6,7,N,,4.21,9.23,19.79,39.43,55.24,71.16,66.7,67.1,NA,NA,,TRUE,4,8.6,NA,20.8,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,6,Cottonwood Creek,355a,,,A,Hot/Dry,Hot,Dry,MM5-1,N,2,plain,6,7,N,,1.32,4.39,13.14,21.85,28.51,56.24,68.9,84.8,NA,NA,,TRUE,3.1,7.5,NA,19.4,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,7,Sweetwater River,CUR7,AW1109,AW1111,A,Hot/Dry,Hot,Dry,MM5-1,A,3,plain,6,7,N,,2.24,4.88,13.76,22.03,31.52,40.64,44.5,62.5,NA,NA,,TRUE,0,1,NA,7.5,8,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
145,3,1,Deep Creek,DPC1,AA1535,JP0779,A,Hot/Dry,Hot,Dry,MM5-1,B,3,plain,6,7,N,,< 1,2.31,9.36,17.19,24.38,41.46,47.1,63.1,NA,NA,,TRUE,0.5,3.5,NA,13.4,13.6,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,NA,NA,NA,,0.0226,0.0027,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
157,4,1,Grade Road Palomar,GRP1,JP0987,JP0986,A,Hot/Dry,Hot,Dry,MM5-1,C,3,plain,6,7,N,,2.2,4.42,10.23,16.69,27.71,34.96,63.1,73.2,NA,NA,,TRUE,0.4,3.2,NA,16.1,16.9,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,50,41,9.5,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,3,Hauser Creek,HAU3,AA1597,AW1133,A,Hot/Dry,Hot,Dry,MM5-1,D,3,green,8,8,N,,1.96,4.58,10.46,14.15,19.09,27.1,27.9,37.1,NA,NA,,TRUE,0.4,2,NA,9.5,11.3,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,27,16,4.9,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,3,Little Jameson,LIJ3,AA1379,AA1378,A,Hot/Dry,Hot,Dry,MM5-1,E,3,no toothpick; germination,12,17,N,,< 1,2.01,5.02,11.44,21.27,25.42,20.3,20.3,NA,NA,,TRUE,0,0,NA,2.5,3,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,12,16,4.2,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
141,7,3,Middle Yuba,MYU3,JP0619,JP0624,B,Hot/Dry,Hot,Dry,MM5-1,F,3,red,9,9,N,,2.27,4.9,13.29,21.83,31.93,52.02,62.9,75.2,NA,NA,,TRUE,1.8,5.1,NA,22.5,20.4,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8,5,Mill Creek,MIL5,EH0054,AA1502,A,Hot/Dry,Hot,Dry,MM5-1,G,3,plain,6,7,N,,< 1,1.75,8.82,15.98,19.35,30.93,41.7,41.5,NA,NA,,TRUE,0.5,2.6,NA,19.2,21.4,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
125,9,4,North Fork Middle Tule,NMT4,AA1519,EH0014,A,Hot/Dry,Hot,Dry,MM5-1,H,3,plain,6,7,N,,< 1,1.58,8.58,15.45,23.15,39.73,56.5,80.3,NA,NA,,TRUE,0,2.3,NA,17.5,19,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
169,10,1,Paradise Creek,PRD1,AA1426,EH0011,A,Hot/Dry,Hot,Dry,MM5-1,I,3,no germination,NA,NA,Y,,1.53,2.32,5.4,9.07,17.45,23.11,27.8,30.4,NA,NA,transplanted,TRUE,0,2.5,NA,9,9.5,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,38,35,8,,0.0621,0.0068,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
187,11,3,Rainbow Pool,RBW3,AA0563,AA0565,B,Hot/Dry,Hot,Dry,MM5-1,J,3,red,9,9,N,,2.77,5.18,13.9,19.58,27.81,39.78,69.5,100.7,NA,NA,,TRUE,0.8,4.2,NA,21.2,21.2,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12,2,Redwood Creek,RWD2,AA1541,EH0005,A,Hot/Dry,Hot,Dry,MM5-1,K,3,plain,6,7,N,,4.24,7.66,18.29,31.35,38.69,59.92,72.7,81.1,NA,NA,,TRUE,2.9,8.2,NA,26,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,11,Rock Creek,014aN1,,,A,Hot/Dry,Hot,Dry,MM5-1,L,3,plain,6,7,N,,< 1,1.35,8.33,15.54,20.76,27.98,40.2,32.7,NA,NA,,TRUE,0,4.5,NA,14.8,15,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,25,30,6.9,,0.0664,0.0057,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14,9,Wawona,190aC2,,,A,Hot/Dry,Hot,Dry,MM5-1,M,3,plain,6,7,N,,1.98,5.72,17.63,25.01,41.58,74.19,89.2,76.7,NA,NA,,TRUE,2.6,8,NA,25.3,26.4,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,5,West Fork Mojave River,WFM5,EH0018,EH0024,A,Hot/Dry,Hot,Dry,MM5-1,N,3,plain,6,7,N,,1.79,5.38,15.01,31.18,48.3,68.83,74.4,80,NA,NA,,TRUE,3.4,7,NA,17.9,15,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
79,16,7,Whitewater Canyon,WWC7,EH0030,EH0028,A,Hot/Dry,Hot,Dry,MM5-1,A,4,plain,6,7,N,,2.2,4.74,11.48,18.29,26.35,41.47,40.8,61.7,NA,NA,,TRUE,1.9,4,NA,20.1,19,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,1,Cottonwood Creek,346a,,,A,Hot/Dry,Hot,Dry,MM5-1,B,4,plain,6,7,N,,1.78,4.66,15.58,20.4,41.77,66.06,87.9,99.7,NA,NA,Duplicates: plain; plain,TRUE,2.4,6,NA,18,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,9,Sweetwater River,CUR9,AW1111,AW1112,A,Hot/Dry,Hot,Dry,MM5-1,C,4,plain,6,7,N,,< 1,0.75,7.06,16,23.41,41.73,34.7,66.3,NA,NA,,TRUE,0,3.1,NA,15.2,18.6,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
155,3,5,Deep Creek,DPC5,JP0785,AA1535,B,Hot/Dry,Hot,Dry,MM5-1,D,4,plain,6,7,N,,2.6,4.73,7.89,16.34,24.98,32.82,43.9,81.9,NA,NA,,TRUE,0,3.9,NA,10.1,10.5,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,40,23,7.6,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,5,Grade Road Palomar,GRP5,JP0993,JP0988,B,Hot/Dry,Hot,Dry,MM5-1,E,4,plain,6,7,N,,1.81,4.07,12.23,25.96,42.58,62.94,79.4,86.9,NA,NA,,TRUE,1.6,4.5,NA,17.6,17.7,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5,7,Hauser Creek,HAU7,AW1129,AW1133,A,Hot/Dry,Hot,Dry,MM5-1,F,4,plain,6,7,N,,2.69,5.18,14.14,19.61,28.15,30.5,51.4,67.7,NA,NA,,TRUE,1.4,4.5,NA,28.1,23.6,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,29,22,7.5,,0.0699,0.0058,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,5,Little Jameson,LIJ5,AA1380,AA1383,A,Hot/Dry,Hot,Dry,MM5-1,G,4,no toothpick; germination,12,17,N,,< 1,2.36,7.07,10.82,17.24,26.82,27.7,50.5,NA,NA,,TRUE,0,2,NA,8.5,10,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,54,50,13.2,,,,,,,FALSE,07-Jul,0,0,,TRUE,0.0258,0.0827,0.0138,,0.1223,,,,,,,,,,,,,,,,,,,,,,,,,,
